author,time,content
Ẩn danh,2025-10-02 09:32:00,Bách Hoá Tổng Hợp   · Theo dõi SHS giá 26.5 có nên bán giờ lun k em. Hay giữ đợi KQKD 8 giờ Thích Trả lời Chia sẻ Xem tất cả 3 phản hồi
Ẩn danh,,Xem tất cả 3 phản hồi
Tác giả,2025-10-02 16:32:00,"Hiếu Đỗ Trung Tác giả Theo dõi nhé Ac,mọi người có câu hỏi comment xuống em hỗ trợ ạ 1 giờ Thích Trả lời Chia sẻ"
Phan Minh Quang,2025-10-02 15:32:01,· Cổ đông FPT ngày hôm qua đã được nghỉ ngơi để lấy sức dùng máy trợ tim cho phiên hôm nay :))
Ẩn danh,,Cổ đông FPT ngày hôm qua đã được nghỉ ngơi để lấy sức dùng máy trợ tim cho phiên hôm nay :))
Ẩn danh,2025-10-02 15:32:03,Kho Sàn Vân Gỗ Luxury   · Theo dõi Yên tâm còn xuống 70k 2 giờ Thích Trả lời Chia sẻ
Ẩn danh,2025-10-02 15:32:04,Người tham gia ẩn danh 535 Hnay xuống kinh hơn chưa ạ để em vào mua 2 giờ Thích Trả lời Chia sẻ
Ẩn danh,2025-10-02 10:32:05,"Thoát hàng sao anh em
Thoát hàng sao anh em
Thoát hàng sao anh em
Thoát hàng sao anh em
Thoát hàng sao anh em
Thoát hàng sao anh em"
Ẩn danh,,Tân đang gồng lỗ ·
Ẩn danh,,Tân đang gồng lỗ
Ẩn danh,,Thoát hàng sao anh em
Ẩn danh,2025-10-02 10:32:07,Nga Candy Đau Lòng quá 7 giờ Thích Trả lời Chia sẻ
Ẩn danh,2025-10-02 11:32:08,Nam Hoàng đợt t3 hô hào bắt đáy nhiều lắm :)))) 6 giờ Thích Trả lời Chia sẻ Xem tất cả 4 phản hồi
Ẩn danh,,"Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ"
Phương Thanh Thanh,2025-10-02 10:32:44,"Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này.
Thấy tin BCG và TCD đình chỉ niêm yết mà lòng em man mát buồn. Cũng đã từng ăn nhẹ 18% của 2 mã này."
Phương Thanh Thanh,,Phương Thanh Thanh
Ẩn danh,2025-10-02 10:32:47,Coi Anh Bán từ tuần trước rồi mỗi con để lại 100 cổ xem cho vui xem có giải quyết đc vấn đề bctc không...nghe tin xong cũng thấy buồn lại quay về giao dịch thứ 6 ... nhưng mà lạ lắm có nhóm đang gom nhé... cả bcg cả tcd... không biết có tin nội bộ gì ko.. chứ nửa tháng 1 tháng nữa nó ra đc bctc thì đúng ngơ ngác luôn 7 giờ Thích Trả lời Chia sẻ Đã chỉnh sửa Xem tất cả 2 phản hồi
Ẩn danh,,Xem tất cả 2 phản hồi
Ẩn danh,2025-10-02 09:32:48,Quang Vinh Hên là lãi á ! Chứ bị úp bô cái nhảy đong đỏng ở đó mà buồn 8 giờ Thích Trả lời Chia sẻ
Phan Minh Quang,2025-10-01 17:32:49,ú : ô 7 m l c 7 l 6 1 1 4 2 m 4 i 1   · Hôm nay thực sự đã có chấn động xảy ra ngoài việc thị trường chán ngắt: FPT xanh điểm :))
Phan Minh Quang,,ú : ô 7 m l c 7 l 6 1 1 4 2 m 4 i 1   ·
Ẩn danh,,t o s S o d n r p e 6 a 3 m 0 ú : ô 7 m l c 7 l 6 1 1 4 2 m 4 i 1   ·
Ẩn danh,,Hôm nay thực sự đã có chấn động xảy ra ngoài việc thị trường chán ngắt: FPT xanh điểm :))
Ẩn danh,2025-10-01 17:32:51,Golden Cow Kkkk 1 ngày Thích Trả lời Chia sẻ
Phan Minh Quang,2025-09-30 17:32:52,"ú t f : h 3 9 1 0 0 3 n 8 9 1 5 5 l g m 0 3 2 á · Em cầm SHB mà thấy chán nản lắm rồi, không biết cảm giác của các bác cầm FPT thế nào nhỉ :))"
Phan Minh Quang,,ú t f : h 3 9 1 0 0 3 n 8 9 1 5 5 l g m 0 3 2 á ·
Ẩn danh,,r n e t d o s p S o 8 8 ú t f : h 3 9 1 0 0 3 n 8 9 1 5 5 l g m 0 3 2 á ·
Ẩn danh,,"Em cầm SHB mà thấy chán nản lắm rồi, không biết cảm giác của các bác cầm FPT thế nào nhỉ :))"
Ẩn danh,2025-09-30 17:32:54,Hoa Hướng Dương Mình cầm HAH 2 ngày Thích Trả lời Chia sẻ Xem 1 phản hồi
Ẩn danh,2025-10-01 17:32:55,Định Key shb giữ 1 2 nhịp nữa nó lên. rồi lại giảm xuống mức nữa. có xu hướng xuông 15.x 1 ngày Thích Trả lời Chia sẻ Xem tất cả 4 phản hồi
Ẩn danh,2025-10-02 10:32:56,"Người tham gia ẩ·  Mọi người cho em ký kiến với 3 con này ak SSI , HPG , CTG #chungkhoan"
Ẩn danh,,"Mọi người cho em ký kiến với 3 con này ak SSI , HPG , CTG #chungkhoan"
Ẩn danh,2025-10-02 10:32:58,"Người tham gia ẩn danh 232 Cầm hết, trước mắt còn đang điều chỉnh giá nên hãy kiên nhẫn. 7 giờ Thích Trả lời Chia sẻ Đã chỉnh sửa"
Ẩn danh,2025-10-02 10:32:59,"Giang Hoang Bán hết những con đó đi thớt chuyển mua SBS, CMS, API 7 giờ Thích Trả lời Chia sẻ"
Ẩn danh,2025-10-02 11:33:00,"Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ
Hôm 29/09 em có chuyển tiền vào app tcbs nhưng đến nay vẫn chưa nhận được. E cũng kiểm tra kĩ stk nhưng vẫn không thấy tiền vào dù đã trừ tiền. Có ac nào sài app tcbs mà như e không ạ"
Ẩn danh,2025-10-02 11:33:02,"Người tham gia ẩn danh 950 Hỏi bên ngân hàng xem sao bạn. Mình có lần cũng chuyển vô TCBS, tk ngân hàng thì bị trừ mà tk chứng thì ko ghi nhận. Gọi hỏi ngân hàng thì bị treo á, nhưng họ xử lý trong ngày là tiền về lại 6 giờ Thích Trả lời Chia sẻ"
